titulo,precio,rating,categoria,en_stock,autores,descripcion
An Abundance of Katherines,10.0,5,Young Adult,1,John Green,"From the #1 bestselling author of The Fault in Our Stars Michael L. Printz Honor Book Los Angeles Times Book Prize Finalist Katherine V thought boys were gross Katherine X just wanted to be friends Katherine XVIII dumped him in an e-mail K-19 broke his heart When it comes to relationships, Colin Singleton's type happens to be girls named Katherine. And when it comes to girls named Katherine, Colin is always getting dumped. Nineteen times, to be exact. On a road trip miles from home, this anagram..."
Greek Mythic History,10.23,5,Default,1,History Brought Alive,"Chaos was the origin of everything, the beginning of time. From Chaos sprang forth three primordial deities, Gaea, Tartarus & Eros... Ancient Greece & its Mythology is Truly a Marvel of History Greek Myths were more than just stories...,Take a deeper look and you will uncover the lessons, philosophies, wisdom and even warnings that these myths taught. In truth they are still relevant to this day. Discover Everything you need to know about Ancient Greece & Greek Mythology in This Book Throughout ..."
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,5,Food and Drink,1,Dana Jacobi,"140 delicious, healthy recipes for dark, leafy greens that will please your palate and inspire you to clean your plate, including vegan, vegetarian, and gluten-free options. Kale and collards don’t have to be the only greens on your shopping list anymore. Rising stars include romaine and parsley, Brussels sprouts and beet greens, and more. But say the words “Eat your greens,” and even though we know they’re good for us, many people are afraid that they won’t taste good. Fear no more! The Power G..."
Dear Mr. Knightley,11.21,5,Fiction,1,Katherine Reay,"Samantha's only friends were characters in books, but her real life takes an extraordinary turn when a mysterious ""Mr. Knightley"" offers her a full journalism scholarship—on the condition that she write to him regularly. Will their long-distance friendship unlock her heart? Sam is, to say the least, bookish. An English major of the highest order, her diet has always been Austen, Dickens, and Shakespeare. The problem is that both her prose and conversation tend to be more Elizabeth Bennet than Sa..."
The Darkest Corners,11.33,5,Young Adult,1,Kara Thomas,Sin descripción
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,5,Food and Drink,1,Autor Desconocido,Sin descripción
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5,Sequential Art,1,Autor Desconocido,Sin descripción
Old School (Diary of a Wimpy Kid #10),11.83,5,Humor,1,Jeff Kinney,"In the tenth book, more bad luck follows Greg Heffley in Jeff Kinney's laugh out loud series! I really don't understand why Mom thinks we need to go BACKWARDS, anyway. From what I can tell, the old days weren't that much fun. Life was better in the old days. Or was it? That's the question Greg Heffley is asking as his town voluntarily unplugs and goes electronics-free. But modern life has its conveniences, and Greg isn't cut out for an old-fashioned world. With tension building inside and outsid..."
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,Sequential Art,1,"Gene Luen Yang, John Romita","Superman is going through some changes. First, there's his new ""solar flare"" power, which releases tremendous amounts of energy but leaves him functionally human--fragile, vulnerable, prone to hangovers--for 24 hours. But an even bigger change is coming. A new company called Hordr has sprung up, and its business is secrets. If you have one that you want to keep hidden, Hordr can control you--and no one has a bigger secret than Clark Kent. Now, Hordr is threatening to expose Clark's alter ego unl..."
Every Heart a Doorway (Every Heart A Doorway #1),12.16,5,Fantasy,1,Bianca Sloane,"A few of the things Natalie Scott’s stalker knows about her: She likes foreign films, cinnamon gum and strawberry yogurt. She goes jogging along Chicago’s lakefront every Monday, Wednesday, and Friday. She smells like sunflowers in the summer and roses in the winter. What Natalie Scott doesn’t know: Every minute of every day, a madman is watching her. Every minute of every day, he’s waiting for the perfect moment to strike. Every minute of every day, she’s inching closer to catastrophe . . . And..."
